"Date","Price","Open","High","Low","Change %"
"01/17/2018","17.500","17.500","17.500","17.500","0.00%"
"01/16/2018","17.500","17.500","17.500","17.500","0.00%"
"01/15/2018","17.500","17.500","17.500","17.500","-0.31%"
"01/14/2018","17.555","17.555","17.555","17.555","0.00%"
"01/12/2018","17.555","17.555","17.555","17.555","0.00%"
"01/11/2018","17.555","17.555","17.555","17.555","-3.80%"
"01/10/2018","18.249","18.249","18.249","18.249","0.00%"
"01/09/2018","18.249","18.249","18.249","18.249","0.00%"
"01/08/2018","18.249","18.249","18.249","18.249","0.03%"
"01/07/2018","18.244","18.244","18.244","18.244","0.00%"
"01/05/2018","18.244","18.244","18.244","18.244","-0.01%"
"01/04/2018","18.245","18.245","18.245","18.245","3.08%"
"01/03/2018","17.700","17.700","17.700","17.700","0.00%"
"01/02/2018","17.700","17.700","17.700","17.700","0.28%"
"01/01/2018","17.650","17.650","17.650","17.650","0.00%"
"12/31/2017","17.650","17.650","17.650","17.650","0.00%"
"12/29/2017","17.650","17.650","17.650","17.650","-0.97%"
"12/28/2017","17.823","17.823","17.823","17.823","0.38%"
"12/27/2017","17.755","17.755","17.755","17.755","0.46%"
"12/26/2017","17.673","17.673","17.673","17.673","0.00%"
"12/25/2017","17.673","17.673","17.673","17.673","0.00%"
"12/24/2017","17.673","17.673","17.673","17.673","0.00%"
"12/22/2017","17.673","17.673","17.673","17.673","-0.01%"
"12/21/2017","17.674","17.674","17.674","17.674","-2.02%"
"12/20/2017","18.038","18.038","18.038","18.038","-0.01%"
"12/19/2017","18.039","18.039","18.039","18.039","0.00%"
"12/18/2017","18.039","18.039","18.039","18.039","-0.80%"
"12/17/2017","18.184","18.184","18.184","18.184","0.00%"
"12/16/2017","18.184","18.184","18.184","18.184","0.00%"
"12/15/2017","18.184","18.184","18.184","18.184","-0.01%"
"12/14/2017","18.185","18.185","18.185","18.185","-3.38%"
"12/13/2017","18.821","18.821","18.821","18.821","0.00%"
"12/12/2017","18.821","18.821","18.821","18.821","-0.01%"
"12/11/2017","18.822","18.822","18.822","18.822","0.53%"
"12/08/2017","18.723","18.723","18.723","18.723","0.01%"
"12/07/2017","18.722","18.722","18.722","18.722","0.43%"
"12/06/2017","18.642","18.642","18.642","18.642","0.00%"
"12/05/2017","18.642","18.642","18.642","18.642","-0.01%"
"12/04/2017","18.643","18.643","18.643","18.643","0.76%"
"12/03/2017","18.503","18.503","18.503","18.503","0.00%"
"12/01/2017","18.503","18.503","18.503","18.503","0.00%"
"11/30/2017","18.503","18.209","18.503","18.209","1.61%"
"11/29/2017","18.210","18.210","18.210","18.210","0.00%"
"11/28/2017","18.210","18.210","18.210","18.210","0.00%"
"11/27/2017","18.210","18.210","18.210","18.210","0.87%"
"11/26/2017","18.053","18.053","18.053","18.053","0.00%"
"11/24/2017","18.053","18.053","18.053","18.053","0.00%"
"11/23/2017","18.053","18.053","18.053","18.053","1.63%"
"11/22/2017","17.763","17.763","17.763","17.763","-0.01%"
"11/21/2017","17.764","17.764","17.764","17.764","0.00%"
"11/20/2017","17.764","17.764","17.764","17.764","0.00%"
"11/19/2017","17.764","17.764","17.764","17.764","0.00%"
"11/17/2017","17.764","17.764","17.764","17.764","0.01%"
"11/16/2017","17.763","17.763","17.763","17.763","0.00%"
"11/15/2017","17.763","17.763","17.763","17.763","-0.01%"
"11/14/2017","17.764","17.764","17.764","17.764","0.00%"
"11/13/2017","17.764","17.764","17.764","17.764","-0.07%"
"11/12/2017","17.777","17.777","17.777","17.777","0.00%"
"11/10/2017","17.777","17.777","17.777","17.777","-0.01%"
"11/09/2017","17.778","17.778","17.778","17.778","0.67%"
"11/08/2017","17.660","17.660","17.660","17.660","0.01%"
"11/07/2017","17.659","17.659","17.659","17.659","-0.01%"
"11/06/2017","17.660","17.660","17.660","17.660","0.01%"
"11/05/2017","17.658","17.658","17.658","17.658","0.00%"
"11/03/2017","17.658","17.658","17.658","17.658","0.01%"
"11/02/2017","17.657","17.657","17.657","17.657","0.24%"
"11/01/2017","17.615","17.615","17.615","17.615","-0.01%"
"10/31/2017","17.616","17.616","17.616","17.616","0.00%"
"10/30/2017","17.616","17.616","17.616","17.616","-0.59%"
"10/29/2017","17.720","17.720","17.720","17.720","0.00%"
"10/27/2017","17.720","17.720","17.720","17.720","0.00%"
"10/26/2017","17.720","17.720","17.720","17.720","-0.16%"
"10/25/2017","17.749","17.749","17.749","17.749","-0.01%"
"10/24/2017","17.750","17.750","17.750","17.750","0.00%"
"10/23/2017","17.750","17.750","17.750","17.750","-0.57%"
"10/22/2017","17.851","17.851","17.851","17.851","0.00%"
"10/20/2017","17.851","17.851","17.851","17.851","0.00%"
"10/19/2017","17.851","17.851","17.851","17.851","-0.73%"
"10/18/2017","17.983","17.983","17.983","17.983","0.00%"
"10/17/2017","17.983","17.983","17.983","17.983","-0.01%"
"10/16/2017","17.984","17.984","17.984","17.984","-2.79%"
"10/13/2017","18.500","18.500","18.500","18.500","-0.01%"
"10/12/2017","18.501","18.501","18.501","18.501","0.01%"
"10/11/2017","18.500","18.500","18.500","18.500","-0.01%"
"10/10/2017","18.501","18.501","18.501","18.501","0.28%"
"10/09/2017","18.450","18.450","18.450","18.450","2.50%"
"10/08/2017","18.000","18.000","18.000","18.000","0.00%"
"10/06/2017","18.000","18.000","18.000","18.000","-0.06%"
"10/05/2017","18.011","18.011","18.011","18.011","0.00%"
"10/04/2017","18.011","18.011","18.011","18.011","0.00%"
"10/03/2017","18.011","18.011","18.011","18.011","0.04%"
"10/02/2017","18.004","18.004","18.004","18.004","1.19%"
"10/01/2017","17.793","17.793","17.793","17.793","0.00%"
"09/29/2017","17.793","17.793","17.793","17.793","0.01%"
"09/28/2017","17.792","17.792","17.792","17.792","0.43%"
"09/27/2017","17.715","17.715","17.715","17.715","0.08%"
"09/26/2017","17.700","17.700","17.700","17.700","0.01%"
"09/25/2017","17.699","17.699","17.699","17.699","-1.12%"
"09/24/2017","17.900","17.900","17.900","17.900","0.00%"
"09/22/2017","17.900","17.900","17.900","17.900","0.00%"
"09/21/2017","17.900","17.900","17.900","17.900","-3.31%"
"09/20/2017","18.512","18.512","18.512","18.512","0.00%"
"09/19/2017","18.512","18.512","18.512","18.512","0.03%"
"09/18/2017","18.507","18.507","18.507","18.507","-0.50%"
"09/17/2017","18.600","18.600","18.600","18.600","0.00%"
"09/15/2017","18.600","18.600","18.600","18.600","0.00%"
"09/14/2017","18.600","18.600","18.600","18.600","-0.09%"
"09/13/2017","18.616","18.616","18.616","18.616","0.00%"
"09/12/2017","18.616","18.616","18.616","18.616","0.08%"
"09/11/2017","18.601","18.601","18.601","18.601","-1.16%"
"09/10/2017","18.819","18.819","18.819","18.819","0.00%"
"09/08/2017","18.819","18.819","18.819","18.819","0.00%"
"09/07/2017","18.819","18.819","18.819","18.819","-2.16%"
"09/06/2017","19.235","19.235","19.235","19.235","0.00%"
"09/05/2017","19.235","19.235","19.235","19.235","0.00%"
"09/04/2017","19.235","19.237","19.237","19.235","-0.01%"
"08/31/2017","19.237","19.015","19.237","19.015","1.17%"
"08/30/2017","19.015","19.015","19.015","19.015","0.00%"
"08/29/2017","19.015","19.015","19.015","19.015","0.00%"
"08/28/2017","19.015","19.015","19.015","19.015","0.35%"
"08/27/2017","18.949","18.949","18.949","18.949","0.00%"
"08/25/2017","18.949","18.949","18.949","18.949","-0.01%"
